"vehicle_id","year","make","model","description","body_style","drivetrain","mileage.value","mileage.unit","URL","title","price","state_of_vehicle","exterior_color","address.addr1","address.city","address.region","address.country","latitude","longitude","sale_price","image[0].url","fuel_type","transmission","custom_label_0"
"32470","2018","Holden","Trax","2018 Holden Trax LT (NZ NEW) FACELIFT AUTO 1.4L TURBO 5 DOOR","SUV","","90320","KM","https://www.4guys.co.nz/vehicle-details?id=3454478","2018 Holden Trax LT (NZ NEW) FACELIFT AUTO 1.4L TURBO 5 DOOR","16800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=92420080&w=500&h=375&l=true","Petrol","Automatic","Under $20k"
"32472","2020","Volkswagen","Tiguan","2020 Volkswagen Tiguan AUTO ALLSPACE TSI 2.0L TURBO 7STS 4WD","SUV","4WD","56780","KM","https://www.4guys.co.nz/vehicle-details?id=3454960","2020 Volkswagen Tiguan AUTO ALLSPACE TSI 2.0L TURBO 7STS 4WD","39800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=83576240&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32474","2015","Audi","A4","2015 Audi A4 AVANT 2.0L TFSI S-LINE AUTO 5 DOOR 2WD","Other","","57628","KM","https://www.4guys.co.nz/vehicle-details?id=3456823","2015 Audi A4 AVANT 2.0L TFSI S-LINE AUTO 5 DOOR 2WD","24800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=89311323&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32434","2021","Subaru","XV","2021 Subaru XV 2.0E-L EYESIGHT (HYBRID) AUTO 2.0L 5 DOOR 4WD","Other","4WD","47910","KM","https://www.4guys.co.nz/vehicle-details?id=3460153","2021 Subaru XV 2.0E-L EYESIGHT (HYBRID) AUTO 2.0L 5 DOOR 4WD","29950 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=83383982&w=500&h=375&l=true","Hybrid","Automatic","$20k-$40k"
"32496","2020","Mazda","CX-3","2020 Mazda CX-3 LOWER KIT 2WD AUTO 2.0L 5 DOOR","SUV","","27670","KM","https://www.4guys.co.nz/vehicle-details?id=3464251","2020 Mazda CX-3 LOWER KIT 2WD AUTO 2.0L 5 DOOR","29800 NZD","USED","Red","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","27800 NZD","https://data.autoplay.co.nz/image.ashx?id=92420280&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32503","2022","Mazda","CX-60","2022 Mazda CX-60 XD HYBRID EXCLUSIVE 4WD AUTO 3.3L DIESEL HYBRID 5 DOOR","SUV","4WD","24639","KM","https://www.4guys.co.nz/vehicle-details?id=3464592","2022 Mazda CX-60 XD HYBRID EXCLUSIVE 4WD AUTO 3.3L DIESEL HYBRID 5 DOOR","52800 NZD","USED","Red","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=92420152&w=500&h=375&l=true","Hybrid","Automatic","$40k-$80k"
"32508","2018","Chevrolet","Camaro","2018 Chevrolet Camaro 2SS (2018) AUTO 6.2L V8 (470hp) COUPE","Coupe","","26517","KM","https://www.4guys.co.nz/vehicle-details?id=3467264","2018 Chevrolet Camaro 2SS (2018) AUTO 6.2L V8 (470hp) COUPE","89800 NZD","USED","Hyper Blue Metallic","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=83575600&w=500&h=375&l=true","Petrol","Automatic","$80k+"
"32515","2023","Lexus","IS 500","2023 Lexus IS 500 F SPORT PERFORMANCE AUTO 5.0L V8 SEDAN","Sedan","","734","KM","https://www.4guys.co.nz/vehicle-details?id=3471729","2023 Lexus IS 500 F SPORT PERFORMANCE AUTO 5.0L V8 SEDAN","104800 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","99800 NZD","https://data.autoplay.co.nz/image.ashx?id=92928749&w=500&h=375&l=true","Petrol","Automatic","$80k+"
"32345","2021","Ford","F250","2021 Ford F250 PLATINUM SD 4WD CREWCAB AUTO 6.7L TURBO DIESEL UTILITY","Other","4WD","23755","KM","https://www.4guys.co.nz/vehicle-details?id=3477528","2021 Ford F250 PLATINUM SD 4WD CREWCAB AUTO 6.7L TURBO DIESEL UTILITY","179800 NZD","USED","Blue","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=83580403&w=500&h=375&l=true","Diesel","Automatic","$80k+"
"32526","2017","Nissan","Qashqai","2017 Nissan Qashqai ST-L (NZ NEW) AUTO 2.0L 5 DOOR 2WD","SUV","","124452","KM","https://www.4guys.co.nz/vehicle-details?id=3486622","2017 Nissan Qashqai ST-L (NZ NEW) AUTO 2.0L 5 DOOR 2WD","18950 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=84316280&w=500&h=375&l=true","Petrol","Automatic","Under $20k"
"32588","2015","Audi","A4","2015 Audi A4 TFSI SEDAN S LINE AUTO 2.0L TURBO 2WD","Sedan","","18260","KM","https://www.4guys.co.nz/vehicle-details?id=3498518","2015 Audi A4 TFSI SEDAN S LINE AUTO 2.0L TURBO 2WD","24800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=94131651&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32637","2011","Audi","A4","2011 Audi A4 AVANT 1.8L TFSI AUTO 1.8L TURBO S/W","Other","","103460","KM","https://www.4guys.co.nz/vehicle-details?id=3524688","2011 Audi A4 AVANT 1.8L TFSI AUTO 1.8L TURBO S/W","12800 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=97573899&w=500&h=375&l=true","Petrol","Automatic","Under $20k"
"32647","2019","Holden","Astra","2019 Holden Astra RS-V 1.6L 5 DOOR AUTO TURBO HATCH BACK","Hatchback","","48850","KM","https://www.4guys.co.nz/vehicle-details?id=3527237","2019 Holden Astra RS-V 1.6L 5 DOOR AUTO TURBO HATCH BACK","21800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=90802728&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32684","2009","Volkswagen","Beetle","2009 Volkswagen Beetle 2.0L HATCH BACK AUTO 3 DOOR","Hatchback","","78445","KM","https://www.4guys.co.nz/vehicle-details?id=3545304","2009 Volkswagen Beetle 2.0L HATCH BACK AUTO 3 DOOR","11800 NZD","USED","Silver","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=97573001&w=500&h=375&l=true","Petrol","Automatic","Under $20k"
"32746","2019","Holden","Astra","2019 Holden Astra RS-V (NZ NEW) AUTO 1.6L TURBO 5 DOOR","Hatchback","","48685","KM","https://www.4guys.co.nz/vehicle-details?id=3565186","2019 Holden Astra RS-V (NZ NEW) AUTO 1.6L TURBO 5 DOOR","20800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=86288613&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32751","2019","Audi","Q5","2019 Audi Q5 40TDI QUATTRO S-LINE AUTO 2.0L TURBO DIESEL 5 DOOR 4WD","SUV","4WD","27566","KM","https://www.4guys.co.nz/vehicle-details?id=3565778","2019 Audi Q5 40TDI QUATTRO S-LINE AUTO 2.0L TURBO DIESEL 5 DOOR 4WD","44800 NZD","USED","Grey","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=88885039&w=500&h=375&l=true","Diesel","Automatic","$40k-$80k"
