"vehicle_id","title","description","url","make","model","year","mileage.value","mileage.unit","image_link","transmission","body_style","drivetrain","price","exterior_color","state_of_vehicle","fuel_type","sale_price","availability","vehicle_type","address.addr1","address.city","address.region","address.country","latitude","longitude","dealer_name"
"32496","2020 Mazda Cx-3 Lower Kit 2WD Auto 2.0L 5 Door","2020 Mazda Cx-3 Lower Kit 2WD Auto 2.0L 5 Door","https://www.4guys.co.nz/vehicle-details?id=3464251","Mazda","CX-3","2020","27670","KM","https://data.autoplay.co.nz/image.ashx?id=92420280&w=800&h=600&l=true","Automatic","SUV","","29800 NZD","Red","Used","GASOLINE","27800 NZD","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32503","2022 Mazda Cx-60 Xd Hybrid Exclusive 4WD Auto 3.3L Diesel Hybrid 5 Door","2022 Mazda Cx-60 Xd Hybrid Exclusive 4WD Auto 3.3L Diesel Hybrid 5 Door","https://www.4guys.co.nz/vehicle-details?id=3464592","Mazda","CX-60","2022","24639","KM","https://data.autoplay.co.nz/image.ashx?id=92420152&w=800&h=600&l=true","Automatic","SUV","4X4","52800 NZD","Red","Used","HYBRID","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32508","2018 Chevrolet Camaro 2SS (2018) Auto 6.2L V8 (470hp) Coupe","2018 Chevrolet Camaro 2SS (2018) Auto 6.2L V8 (470hp) Coupe","https://www.4guys.co.nz/vehicle-details?id=3467264","Chevrolet","Camaro","2018","26517","KM","https://data.autoplay.co.nz/image.ashx?id=83575600&w=800&h=600&l=true","Automatic","COUPE","","89800 NZD","Hyper Blue Metallic","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32515","2023 Lexus Is 500 F Sport Performance Auto 5.0L V8 Sedan","2023 Lexus Is 500 F Sport Performance Auto 5.0L V8 Sedan","https://www.4guys.co.nz/vehicle-details?id=3471729","Lexus","IS 500","2023","734","KM","https://data.autoplay.co.nz/image.ashx?id=92928749&w=800&h=600&l=true","Automatic","SEDAN","","104800 NZD","White","Used","GASOLINE","99800 NZD","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32345","2021 Ford F250 Platinum Sd 4WD Crewcab Auto 6.7L Turbo Diesel Utility","2021 Ford F250 Platinum Sd 4WD Crewcab Auto 6.7L Turbo Diesel Utility","https://www.4guys.co.nz/vehicle-details?id=3477528","Ford","F250","2021","23755","KM","https://data.autoplay.co.nz/image.ashx?id=83580403&w=800&h=600&l=true","Automatic","OTHER","4X4","179800 NZD","Blue","Used","DIESEL","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32526","2017 Nissan Qashqai ST-L (NZ New) Auto 2.0L 5 Door 2WD","2017 Nissan Qashqai ST-L (NZ New) Auto 2.0L 5 Door 2WD","https://www.4guys.co.nz/vehicle-details?id=3486622","Nissan","Qashqai","2017","124452","KM","https://data.autoplay.co.nz/image.ashx?id=84316280&w=800&h=600&l=true","Automatic","SUV","","18950 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32588","2015 Audi A4 Tfsi Sedan S Line Auto 2.0L Turbo 2WD","2015 Audi A4 Tfsi Sedan S Line Auto 2.0L Turbo 2WD","https://www.4guys.co.nz/vehicle-details?id=3498518","Audi","A4","2015","18260","KM","https://data.autoplay.co.nz/image.ashx?id=94131651&w=800&h=600&l=true","Automatic","SEDAN","","24800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32637","2011 Audi A4 Avant 1.8L Tfsi Auto 1.8L Turbo S/W","2011 Audi A4 Avant 1.8L Tfsi Auto 1.8L Turbo S/W","https://www.4guys.co.nz/vehicle-details?id=3524688","Audi","A4","2011","103460","KM","https://data.autoplay.co.nz/image.ashx?id=97573899&w=800&h=600&l=true","Automatic","OTHER","","12800 NZD","White","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32647","2019 Holden Astra RS-V 1.6L 5 Door Auto Turbo Hatch Back","2019 Holden Astra RS-V 1.6L 5 Door Auto Turbo Hatch Back","https://www.4guys.co.nz/vehicle-details?id=3527237","Holden","Astra","2019","48850","KM","https://data.autoplay.co.nz/image.ashx?id=90802728&w=800&h=600&l=true","Automatic","HATCHBACK","","21800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32684","2009 Volkswagen Beetle 2.0L Hatch Back Auto 3 Door","2009 Volkswagen Beetle 2.0L Hatch Back Auto 3 Door","https://www.4guys.co.nz/vehicle-details?id=3545304","Volkswagen","Beetle","2009","78445","KM","https://data.autoplay.co.nz/image.ashx?id=97573001&w=800&h=600&l=true","Automatic","HATCHBACK","","11800 NZD","Silver","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32746","2019 Holden Astra RS-V (NZ New) Auto 1.6L Turbo 5 Door","2019 Holden Astra RS-V (NZ New) Auto 1.6L Turbo 5 Door","https://www.4guys.co.nz/vehicle-details?id=3565186","Holden","Astra","2019","48685","KM","https://data.autoplay.co.nz/image.ashx?id=86288613&w=800&h=600&l=true","Automatic","HATCHBACK","","20800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
